cod_scuola|anno_corso|entrate|uscite
"AGEE826027"|3|0|0
"AGEE826027"|4|0|0
"AGEE826027"|5|0|0
"AGEE826038"|1|0|0
"AGEE826038"|2|0|0
"AGEE826038"|3|0|0
"AGEE826038"|4|0|0
"AGEE826038"|5|0|0
"AGEE827012"|1|0|0
"AGEE827012"|2|0|0
"AGEE827012"|3|0|8.3
"AGEE827012"|4|0|0
"AGEE827012"|5|0|0
"AGEE82801T"|1|0|14.3
"AGEE82801T"|2|3.3|0
"AGEE82801T"|3|7.7|0
"AGEE82801T"|4|0|0
"AGEE82801T"|5|0|0
"AGEE82901N"|1|2.6|5.1
"AGEE82901N"|2|3.8|0
"AGEE82901N"|3|3.6|0
"AGEE82901N"|4|0|0
"AGEE82901N"|5|0|0
"AGEE83001T"|1|0|0
"AGEE83001T"|2|0|0
"AGEE83001T"|3|1.2|1.2
"AGEE83001T"|4|1.3|1.3
"AGEE83001T"|5|0|0
"AGEE83101N"|1|0|0
"AGEE83101N"|2|0|0
"AGEE83101N"|3|0|0
"AGEE83101N"|4|0|0
"AGEE83101N"|5|0|0
"AGEE83201D"|1|0|0
"AGEE83201D"|2|0|0
"AGEE83201D"|3|0|0
"AGEE83201D"|4|0|0
"AGEE83201D"|5|0|0
"AGEE83203G"|1|0|0
"AGEE83203G"|2|0|0
"AGEE83203G"|3|0|0
"AGEE83203G"|4|0|0
"AGEE83203G"|5|0|0
"AGEE833019"|1|4.2|8.3
"AGEE833019"|2|2.7|2.7
"AGEE833019"|3|0|6.1
"AGEE833019"|4|0|3.3
"AGEE833019"|5|0|0
"AGEE834015"|1|0|2
"AGEE834015"|2|1.2|0
"AGEE834015"|3|0|0
"AGEE834015"|4|0|0
"AGEE834015"|5|0|0
"AGEE835011"|1|0|0
"AGEE835011"|2|0|0
"AGEE835011"|3|0|0
"AGEE835011"|4|3.3|0
"AGEE835011"|5|0|0
"AGEE83601R"|1|1.9|1.9
"AGEE83601R"|2|0|3.8
"AGEE83601R"|3|0|2.9
"AGEE83601R"|4|3.1|3.1
"AGEE83601R"|5|1.5|0
"AGEE83701L"|1|0|0
"AGEE83701L"|2|0|0
"AGEE83701L"|3|0|0
"AGEE83701L"|4|0|0
"AGEE83701L"|5|0|0
"AGEE83802D"|1|0|17.9
"AGEE83802D"|2|0|5
"AGEE83802D"|3|0|0
"AGEE83802D"|4|0|10.5
"AGEE83802D"|5|0|0
"AGEE83803E"|1|0|0
"AGEE83803E"|2|0|0
"AGEE83803E"|3|0|20
"AGEE83803E"|4|0|0
"AGEE83803E"|5|0|6.7
"AGEE83804G"|1|5.3|0
"AGEE83804G"|2|0|6.7
"AGEE83804G"|3|0|13.3
"AGEE83804G"|4|0|0
"AGEE83804G"|5|0|0
"AGEE839018"|1|0|0
"AGEE839018"|2|0|0
"AGEE839018"|3|2.5|0
"AGEE839018"|4|0|2.9
"AGEE839018"|5|0|0
"AGEE84001C"|1|0|0
"AGEE84001C"|2|0|0
"AGEE84001C"|3|2.7|0
"AGEE84001C"|4|0|0
"AGEE84001C"|5|0|0
"AGEE841018"|1|0|3.1
"AGEE841018"|2|1.5|0
"AGEE841018"|3|0|0
"AGEE841018"|4|0|0
"AGEE841018"|5|0|0
"AGEE842014"|1|0|0
"AGEE842014"|2|0|0
"AGEE842014"|3|0|0
"AGEE842014"|4|0|0
"AGEE842014"|5|0|0
"AGEE84301X"|1|0|0
"AGEE84301X"|2|0|0
"AGEE84301X"|3|0|0
"AGEE84301X"|4|3|0
"AGEE84301X"|5|0|0
"AGEE84401Q"|1|0|4.5
"AGEE84401Q"|2|0|0
"AGEE84401Q"|3|5.9|0
"AGEE84401Q"|4|0|0
"AGEE84401Q"|5|0|0
"AGEE84501G"|1|0|1.5
"AGEE84501G"|2|0|0
"AGEE84501G"|3|0|0
"AGEE84501G"|4|1.4|1.4
"AGEE84501G"|5|0|0
"AGEE84601B"|1|0|0
"AGEE84601B"|2|0|0
"AGEE84601B"|3|0|0
"AGEE84601B"|4|0|0
"AGEE84601B"|5|0|0
"AGEE84704A"|1|0|3.6
"AGEE84704A"|2|0|0
"AGEE84704A"|3|0|0
"AGEE84704A"|4|0|0
"AGEE84704A"|5||
"AGEE84705B"|1|0|0
"AGEE84705B"|2|0|2.7
"AGEE84705B"|3|2.9|0
"AGEE84705B"|4|0|5
"AGEE84705B"|5|0|0
"AGEE848013"|1|0|1.5
"AGEE848013"|2|0|0
"AGEE848013"|3|0|0
"AGEE848013"|4|0|0
"AGEE848013"|5|0|0
"AGEE84901V"|1|0|1.6
"AGEE84901V"|2|1.5|0
"AGEE84901V"|3|0|4.7
"AGEE84901V"|4|0|1.5
"AGEE84901V"|5|0|1.6
"AGEE850013"|1|8.3|0
"AGEE850013"|2|11.1|0
"AGEE850013"|3|0|0
"AGEE850013"|4|11.1|0
"AGEE850013"|5|0|0
"AGEE850024"|1|0|0
"AGEE850024"|2|0|0
"AGEE850024"|3|0|0
"AGEE850024"|4|0|0
"AGEE850024"|5|0|0
"AGEE85101V"|1|2.4|0
"AGEE85101V"|2|0|5.6
"AGEE85101V"|3|0|0
"AGEE85101V"|4|0|0
"AGEE85101V"|5|0|0
"AGEE85102X"|1|0|0
"AGEE85102X"|2|0|0
"AGEE85102X"|3|0|0
"AGEE85102X"|4|0|0
"AGEE85102X"|5|0|0
"AGEE85201P"|1|0|3
"AGEE85201P"|2|0|0
"AGEE85201P"|3|0|0
"AGEE85201P"|4|0|2.3
"AGEE85201P"|5|0|0
"AGEE85202Q"|1|0|0
"AGEE85202Q"|2|0|0
"AGEE85202Q"|3|2|0
"AGEE85202Q"|4|0|0
"AGEE85202Q"|5|0|0
"AGMM004008"|1|0|0
"AGMM004008"|2|0|0
"AGMM004008"|3|0|1
"AGMM01500P"|1|2.7|4.3
"AGMM01500P"|2|2|.7
"AGMM01500P"|3|8.4|.6
"AGMM03800B"|1|0|0
"AGMM03800B"|2|0|0
"AGMM03800B"|3|0|.5
"AGMM054009"|1|0|.4
"AGMM054009"|2|0|0
"AGMM054009"|3|0|0
"AGMM06700B"|1|.7|0
"AGMM06700B"|2|0|1.5
"AGMM06700B"|3|0|0
"AGMM07200V"|1|0|.4
"AGMM07200V"|2|0|.4
"AGMM07200V"|3|0|.7
"AGMM805014"|1|0|0
"AGMM805014"|2|0|3.2
"AGMM805014"|3|0|0
"AGMM805025"|1||
"AGMM805025"|2|0|0
"AGMM805025"|3|0|0
"AGMM80601X"|1|0|0
"AGMM80601X"|2|0|0
"AGMM80601X"|3|0|0
"AGMM80701Q"|1|0|0
"AGMM80701Q"|2|0|1.9
"AGMM80701Q"|3|0|7.5
"AGMM80702R"|1|6.3|0
"AGMM80702R"|2|0|0
"AGMM80702R"|3|0|3
"AGMM80801G"|1|0|4.4
"AGMM80801G"|2|0|4.8
"AGMM80801G"|3|0|1.4
"AGMM80901B"|1|0|5.3
"AGMM80901B"|2|0|2.2
"AGMM80901B"|3|0|0
"AGMM81001G"|1|0|0
"AGMM81001G"|2|0|0
"AGMM81001G"|3|0|1.2
"AGMM81002L"|1|0|0
"AGMM81002L"|2|0|0
"AGMM81002L"|3|0|0
"AGMM812017"|1|0|0
"AGMM812017"|2|0|0
"AGMM812017"|3|0|0
"AGMM812028"|1|0|0
"AGMM812028"|2|0|0
"AGMM812028"|3|0|0
"AGMM813013"|1|0|0
"AGMM813013"|2|0|0
"AGMM813013"|3|1.9|0
"AGMM81401V"|1|0|0
"AGMM81401V"|2|0|0
"AGMM81401V"|3|0|0
"AGMM81501P"|1|0|7.7
"AGMM81501P"|2|0|4.7
"AGMM81501P"|3|0|6.5
"AGMM81701A"|1|0|0
"AGMM81701A"|2|0|0
"AGMM81701A"|3|0|0
"AGMM818016"|1|2.8|0
"AGMM818016"|2|0|2.1
"AGMM818016"|3|0|1.1
"AGMM819012"|1|0|2.1
"AGMM819012"|2|0|1.9
"AGMM819012"|3|0|0
"AGMM820016"|1|0|0
"AGMM820016"|2|0|0
"AGMM820016"|3|0|0
"AGMM821012"|1|0|0
"AGMM821012"|2|3.8|0
"AGMM821012"|3|0|0
"AGMM82201T"|1|.7|0
"AGMM82201T"|2|0|.8
"AGMM82201T"|3|0|0
"AGMM82301N"|1|0|0
"AGMM82301N"|2|0|0
"AGMM82301N"|3|0|.7
"AGMM82302P"|1|0|0
"AGMM82302P"|2|0|0
"AGMM82302P"|3|0|0
"AGMM82401D"|1|0|0
"AGMM82401D"|2|0|1.4
"AGMM82401D"|3|0|0
"AGMM825019"|1|1.3|0
"AGMM825019"|2|0|2.1
"AGMM825019"|3|0|2.2
"AGMM826015"|1|0|0
"AGMM826015"|2|0|0
"AGMM826015"|3|0|0
"AGMM826026"|1|0|0
"AGMM826026"|2|0|0
"AGMM826026"|3|0|0
"AGMM826037"|1|0|0
"AGMM826037"|2|0|0
"AGMM826037"|3|0|0
"AGMM827011"|1|0|0
"AGMM827011"|2|0|1.3
"AGMM827011"|3|1.3|2.7
"AGMM82801R"|1|1.5|0
"AGMM82801R"|2|0|0
"AGMM82801R"|3|0|0
"AGMM82901L"|1|7.9|.8
"AGMM82901L"|2|0|0
"AGMM82901L"|3|0|0
"AGMM83001R"|1|0|0
"AGMM83001R"|2|0|0
"AGMM83001R"|3|0|0
"AGMM83101L"|1|0|0
"AGMM83101L"|2|0|.6
"AGMM83101L"|3|0|1.3
"AGMM83201C"|1|0|0
"AGMM83201C"|2|0|0
"AGMM83201C"|3|0|1.3
"AGMM833018"|1|3.5|8.5
"AGMM833018"|2|2.2|6.7
"AGMM833018"|3|.7|1.4
"AGMM834014"|1|0|1.4
"AGMM834014"|2|0|.8
"AGMM834014"|3|0|2.4
"AGMM83501X"|1|0|0
"AGMM83501X"|2|2.6|0
"AGMM83501X"|3|0|0
"AGMM83601Q"|1|2.6|2.6
"AGMM83601Q"|2|0|.6
"AGMM83601Q"|3|0|0
"AGMM83701G"|1|0|0
"AGMM83701G"|2|0|0
"AGMM83701G"|3|0|0
"AGMM83702L"|1|0|0
"AGMM83702L"|2|0|0
"AGMM83702L"|3|0|0
"AGMM83801B"|1|0|3.2
"AGMM83801B"|2|0|1.9
"AGMM83801B"|3|0|1.4
"AGMM839017"|1|.7|.7
"AGMM839017"|2|.7|1.5
"AGMM839017"|3|0|1.7
"AGMM84001B"|1|0|1
"AGMM84001B"|2|0|2.6
"AGMM84001B"|3|1.3|1.3
"AGMM841017"|1|0|0
"AGMM841017"|2|0|0
"AGMM841017"|3|0|0
"AGMM842013"|1|0|0
"AGMM842013"|2|0|1.7
"AGMM842013"|3|0|2.5
"AGMM842024"|1|0|0
"AGMM842024"|2|0|0
"AGMM842024"|3|0|0
"AGMM84301V"|1|.9|.9
"AGMM84301V"|2|.9|1.7
"AGMM84301V"|3|1.7|1.7
"AGMM84401P"|1|0|0
"AGMM84401P"|2|2.1|0
"AGMM84401P"|3|1|0
"AGMM84501E"|1|0|.7
"AGMM84501E"|2|0|.9
"AGMM84501E"|3|0|0
"AGMM84601A"|1|0|0
"AGMM84601A"|2|0|0
"AGMM84601A"|3|0|0
"AGMM84602B"|1|0|0
"AGMM84602B"|2|0|0
"AGMM84602B"|3|0|0
"AGMM84603C"|1|0|0
"AGMM84603C"|2|0|0
"AGMM84603C"|3|0|0
"AGMM847016"|1|0|0
"AGMM847016"|2|0|0
"AGMM847016"|3|0|0
"AGMM848012"|1|0|.7
"AGMM848012"|2|.7|.7
"AGMM848012"|3|0|0
"AGMM84901T"|1|0|3.3
"AGMM84901T"|2|0|2.3
"AGMM84901T"|3|1|0
"AGMM850012"|1|0|0
"AGMM850012"|2||
"AGMM850012"|3|0|0
"AGMM85101T"|1|0|0
"AGMM85101T"|2|0|0
"AGMM85101T"|3|0|0
"AGMM85201N"|1|1.3|0
"AGMM85201N"|2|1.2|0
"AGMM85201N"|3|0|1
"AGPC001017"|1|0|7
"AGPC001017"|2|0|3.8
"AGPC001017"|3|0|1.3
"AGPC001017"|4|0|1.4
"AGPC001017"|5|0|0
"AGPC008012"|1|0|.9
"AGPC008012"|2|0|0
"AGPC008012"|3|0|0
"AGPC008012"|4|0|0
"AGPC008012"|5|.9|0
"AGPC010001"|1|0|1.8
"AGPC010001"|2|0|0
"AGPC010001"|3|0|1.8
"AGPC010001"|4|0|1.8
"AGPC010001"|5|0|0
"AGPC02000G"|1|0|0
"AGPC02000G"|2|1|0
"AGPC02000G"|3|1.7|0
"AGPC02000G"|4|0|0
"AGPC02000G"|5|0|0
"AGPC060002"|1|0|1
"AGPC060002"|2|0|3.4
"AGPC060002"|3|.7|2.7
"AGPC060002"|4|.7|0
"AGPC060002"|5|0|.8
"AGPM002017"|1|2.7|0
"AGPM002017"|2|0|3.1
"AGPM002017"|3|0|2
"AGPM002017"|4|0|2.6
"AGPM002017"|5|0|3
"AGPM010005"|1|6.1|16
"AGPM010005"|2|.7|10.1
"AGPM010005"|3|7|4.9
"AGPM010005"|4|4|4
"AGPM010005"|5|0|3.2
"AGPM02000Q"|1|0|1.4
"AGPM02000Q"|2|0|.8
"AGPM02000Q"|3|0|0
"AGPM02000Q"|4|.7|0
"AGPM02000Q"|5|0|0
"AGPM03000A"|1|.5|3.8
