codice_scuola|pc_desktop|pc_laptop|lim_aula|lim_laboratorio|lim_mobili|paule_lan|paule_wifi
"AGEE84901V"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE85101V"|"11,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AGEE85102X"|"10,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AGEE85201P"|"26,00"|"26,00"|"0,00"|"0,00"|"1,00"|"1,00"|"0,00"
"AGEE85202Q"|"24,00"|"14,00"|"0,00"|"0,00"|"1,00"|"1,00"|"0,00"
"AGMM004008"|"85,00"|"14,00"|"6,00"|"2,00"|"0,00"|"1,00"|"0,00"
"AGMM03800B"|"40,00"|"8,00"|"3,00"|"4,00"|"0,00"|"1,00"|"0,00"
"AGMM054009"|"16,00"|"3,00"|"6,00"|"0,00"|"0,00"|"0,30"|"0,00"
"AGMM06700B"|"21,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGMM07200V"|"44,00"|"3,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGMM805014"|"12,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM80601X"|"10,00"|"4,00"|"3,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AGMM80701Q"|"19,00"|"2,00"|"2,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGMM80702R"|"15,00"|"1,00"|"1,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGMM80801G"|"13,00"|"3,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM80901B"|"62,00"|"25,00"|"4,00"|"2,00"|"0,00"|"1,00"|"0,14"
"AGMM81001G"|"25,00"|"0,00"|"6,00"|"2,00"|"0,00"|"0,00"|"0,50"
"AGMM812017"|"48,00"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGMM812028"|"24,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM813013"|"11,00"|"1,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM81401V"|"0,00"|"0,00"|"3,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGMM81501P"|"10,00"|"1,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGMM81701A"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGMM818016"|"51,00"|"3,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGMM819012"|"19,00"|"3,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,33"
"AGMM820016"|"31,00"|"2,00"|"3,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AGMM821012"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,50"
"AGMM82201T"|"13,00"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGMM82301N"|"78,00"|"6,00"|"7,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGMM82302P"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM82401D"|"7,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM826015"|"11,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM826026"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM826037"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM827011"|"29,00"|"29,00"|"3,00"|"0,00"|"0,00"|"1,00"|"0,33"
"AGMM82801R"|"16,00"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGMM82901L"|"18,00"|"3,00"|"3,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AGMM83001R"|"23,00"|"12,00"|"11,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGMM83201C"|"11,00"|"4,00"|"3,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AGMM833018"|"10,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM83501X"|"45,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM83701G"|"45,00"|"11,00"|"2,00"|"3,00"|"0,00"|"0,00"|"0,00"
"AGMM83702L"|"18,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM83801B"|"13,00"|"9,00"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM839017"|"40,00"|"3,00"|"3,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGMM84001B"|"8,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM841017"|"16,00"|"7,00"|"7,00"|"0,00"|"0,00"|"0,45"|"0,45"
"AGMM842013"|"21,00"|"3,00"|"2,00"|"0,00"|"0,00"|"0,66"|"0,33"
"AGMM842024"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"1,00"|"1,00"
"AGMM84301V"|"34,00"|"1,00"|"5,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGMM84401P"|"45,00"|"2,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGMM84501E"|"2,00"|"0,00"|"3,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AGMM847016"|"28,00"|"0,00"|"3,00"|"2,00"|"0,00"|"0,33"|"0,00"
"AGMM848012"|"11,00"|"2,00"|"2,00"|"0,00"|"0,00"|"0,11"|"0,00"
"AGMM84901T"|"25,00"|"8,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGMM850012"|"0,00"|"6,00"|"3,00"|"3,00"|"0,00"|"0,00"|"1,00"
"AGMM85101T"|"13,00"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGMM85201N"|"81,00"|"1,00"|"4,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGPC001017"|"50,00"|"10,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGPC008012"|"136,00"|"20,00"|"0,00"|"2,00"|"2,00"|"1,00"|"0,00"
"AGPC02000G"|"168,00"|"4,00"|"1,00"|"0,00"|"0,00"|"0,75"|"0,00"
"AGPC060002"|"85,00"|"3,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"
"AGPM002017"|"13,00"|"8,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGPM010005"|"32,00"|"48,00"|"0,00"|"1,00"|"3,00"|"0,05"|"0,00"
"AGPM02000Q"|"90,00"|"38,00"|"0,00"|"0,00"|"6,00"|"1,00"|"1,00"
"AGPM060006"|"13,00"|"2,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"
"AGPS00101A"|"62,00"|"62,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGPS002016"|"43,00"|"20,00"|"0,00"|"0,00"|"2,00"|"1,00"|"0,50"
"AGPS002027"|"14,00"|"38,00"|"0,00"|"0,00"|"1,00"|"0,76"|"0,46"
"AGPS008015"|"20,00"|"1,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AGPS02000P"|"87,00"|"4,00"|"1,00"|"3,00"|"0,00"|"0,00"|"0,00"
"AGPS060005"|"60,00"|"43,00"|"0,00"|"2,00"|"2,00"|"0,00"|"0,15"
"AGPS08000A"|"49,00"|"0,00"|"2,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGRA00301G"|"24,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AGRC01601L"|"28,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,14"|"0,14"
"AGRC01602N"|"194,00"|"3,00"|"0,00"|"2,00"|"0,00"|"1,00"|"0,00"
"AGRH01201E"|"75,00"|"6,00"|"0,00"|"0,00"|"0,00"|"0,40"|"0,00"
"AGRH02000C"|"95,00"|"18,00"|"0,00"|"1,00"|"3,00"|"1,00"|"0,00"
"AGRI00601P"|"10,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGRI010009"|"89,00"|"7,00"|"0,00"|"0,00"|"4,00"|"1,00"|"0,00"
"AGRI090006"|"57,00"|"6,00"|"0,00"|"0,00"|"2,00"|"0,95"|"0,00"
"AGRI090017"|"21,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,90"|"0,00"
"AGSD01000E"|"80,00"|"7,00"|"0,00"|"0,00"|"4,00"|"1,00"|"0,00"
"AGTA012016"|"20,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,62"|"0,00"
"AGTD00301T"|"65,00"|"0,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"
"AGTD00302V"|"47,00"|"1,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGTD006019"|"106,00"|"13,00"|"0,00"|"3,00"|"2,00"|"0,00"|"0,00"
"AGTD014018"|"189,00"|"13,00"|"0,00"|"0,00"|"2,00"|"0,65"|"0,00"
"AGTD01601X"|"155,00"|"10,00"|"0,00"|"2,00"|"0,00"|"1,00"|"0,00"
"AGTD02000E"|"328,00"|"28,00"|"0,00"|"0,00"|"1,00"|"1,00"|"1,00"
"AGTD03050E"|"130,00"|"15,00"|"0,00"|"0,00"|"3,00"|"0,87"|"0,12"
"AGTD09000R"|"0,00"|"0,00"|"0,00"|"0,00"|"3,00"|"0,00"|"0,00"
"AGTL01401P"|"103,00"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA001018"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA00103A"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA00301X"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA00401Q"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA00402R"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA007017"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA007028"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA010013"|"15,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA010024"|"15,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA011031"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA011042"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA011086"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA01405E"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA01409P"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"ALAA016078"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA01609A"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA017063"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA017074"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA017085"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA017096"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA017108"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA023048"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA023059"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA024055"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"ALAA024066"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA024077"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ALAA024099"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
